Original Filename,Duplicate Count,Moved Filenames
"2023 - A Compendium on Distributed Systems.pdf",1,"2023 - A Compendium on Distributed Systems_1.pdf"
"Ahmed M. Alwakeel and Abdulrahman K. Alnaim - 2024 - Trust Management and Resource Optimization in Edge and Fog Computing Using the CyberGuard Framework.pdf",1,"Ahmed M. Alwakeel and Abdulrahman K. Alnaim - 2024 - Trust Management and Resource Optimization in Edge and Fog Computing Using the CyberGuard Framework_1.pdf"
"Ahvar et al. - 2022 - Estimating Energy Consumption of Cloud, Fog, and E.pdf",1,"Ahvar et al. - 2022 - Estimating Energy Consumption of Cloud, Fog, and E_1.pdf"
"Almalki et al. - 2022 - Enabling Blockchain with IoMT Devices for Healthca.pdf",1,"Almalki et al. - 2022 - Enabling Blockchain with IoMT Devices for Healthca_1.pdf"
"Alnasir - 2022 - Distributed Computing in a Pandemic A Review of Technologies available for Tackling COVID-19.pdf",1,"Alnasir - 2022 - Distributed Computing in a Pandemic A Review of Technologies available for Tackling COVID-19_1.pdf"
"Alnasir - 2022 - Distributed Computing in a Pandemic A Review of T.pdf",1,"Alnasir - 2022 - Distributed Computing in a Pandemic A Review of T_1.pdf"
"Alzoubi et al. - 2022 - A systematic review of the purposes of Blockchain .pdf",1,"Alzoubi et al. - 2022 - A systematic review of the purposes of Blockchain _1.pdf"
"Ammendola et al. - 2013 - GPU Peer-to-Peer Techniques Applied to a Cluster Interconnect.pdf",1,"Ammendola et al. - 2013 - GPU Peer-to-Peer Techniques Applied to a Cluster Interconnect_1.pdf"
"Atlam et al. - 2018 - Fog Computing and the Internet of Things A Review.pdf",2,"Atlam et al. - 2018 - Fog Computing and the Internet of Things A Review_1.pdf|Atlam et al. - 2018 - Fog Computing and the Internet of Things A Review_2.pdf"
"Bakhsh - 2024 - Retraction note High-performance in classification of heart disease using advanced supercomputing t.pdf",1,"Bakhsh - 2024 - Retraction note High-performance in classification of heart disease using advanced supercomputing t_1.pdf"
"Berisha et al. - 2022 - Big data analytics in Cloud computing an overview.pdf",1,"Berisha et al. - 2022 - Big data analytics in Cloud computing an overview_1.pdf"
