Folder,Status,PDFs Found,PDFs Copied
2254VYP9,no_pdfs,0,0
22AUK53U,processed,1,1
226UR7G6,processed,1,1
25NM68DI,no_pdfs,0,0
23I54U9D,processed,1,1
25SRSNWP,no_pdfs,0,0
25E8GZIR,processed,1,1
22QUAC5L,processed,1,1
247XT3KJ,processed,1,1
25M4ZRKJ,processed,1,1
27PPHYYX,processed,1,1
25WRZ69A,processed,1,1
27FW87MN,processed,1,1
28UTSF4R,no_pdfs,0,0
28VZQ2NB,no_pdfs,0,0
284M4QKM,processed,1,1
2876JHID,processed,1,1
28U3KMFU,processed,1,1
2E2CBG9E,no_pdfs,0,0
2B8ZIMK3,processed,1,1
2AVA3ALM,processed,1,1
2ENT8JG8,processed,1,1
294ANNMP,processed,1,1
2EQDA927,no_pdfs,0,0
2C2VRS7Q,processed,1,1
29WG76Y5,processed,1,1
2FD9JCZK,no_pdfs,0,0
2FXQYFJN,no_pdfs,0,0
2F6MIGAN,processed,1,1
2G6SENQA,no_pdfs,0,0
2GI384X3,processed,1,1
2HZLNJ4Y,processed,1,1
2I6K4IES,processed,1,1
2G6G5I5F,processed,1,1
2J8S8CJX,no_pdfs,0,0
2IV9PEY8,no_pdfs,0,0
2JGJRGQ5,processed,1,1
2JR4FMQM,processed,1,1
2KWBN3JQ,no_pdfs,0,0
2GWXIER3,processed,1,1
2L39P7A5,no_pdfs,0,0
2JXDVRLY,no_pdfs,0,0
2GPTZAXJ,processed,1,1
2NN8VDKG,no_pdfs,0,0
2PDK2V8W,no_pdfs,0,0
2HLYMUZ9,processed,1,1
2IZU359B,processed,1,1
2MPEKM4W,processed,1,1
2KYQGFZR,processed,1,1
2TB7J2N4,no_pdfs,0,0
2PKVEGQ6,processed,1,1
2RHAP3Z9,processed,1,1
2TJFTI8N,processed,1,1
2V54ZGVU,processed,1,1
2SXDMDKY,processed,1,1
2MWDBQ8Y,processed,1,1
2TIR67UU,processed,1,1
2SYA6KEK,processed,1,1
2VKJRHQ8,processed,1,1
32KYUC8B,no_pdfs,0,0
33EAI8F7,no_pdfs,0,0
33K2MJJQ,processed,1,1
2V3ZC228,processed,1,1
2X8EV5JW,processed,1,1
2Y5N3IZ8,processed,1,1
2XKE25SG,processed,1,1
34ZVUE2M,no_pdfs,0,0
359JD53D,processed,1,1
35IPT46Q,no_pdfs,0,0
33WB6RGS,processed,1,1
36EG5PUX,no_pdfs,0,0
2ZF2EWGU,processed,1,1
34UWSCZM,processed,1,1
36DUZ3WB,processed,1,1
384THCUG,processed,1,1
37MPDAIM,processed,1,1
36QF5M23,processed,1,1
34FCJUQK,processed,1,1
38HXD5ZA,processed,1,1
395I6JGG,no_pdfs,0,0
37PM243J,processed,1,1
38S3ZBEP,processed,1,1
3BZI4DE2,no_pdfs,0,0
3CAPA7HJ,no_pdfs,0,0
3CF5YZIC,no_pdfs,0,0
3BWKYEX4,processed,1,1
39DBSPAJ,processed,1,1
3BFYY2G6,processed,1,1
3DC8A58U,processed,1,1
3DVGKWDL,processed,1,1
3D2BWPG8,processed,1,1
3ECYBMRW,processed,1,1
3FFLXTPM,no_pdfs,0,0
